mesquite_presence,SoilWater_30cm,ClayContent_0cm,CarbonContent_30cm,annual_precip
0,17,23,1,387
0,17,21,1,387
1,16,21,1,389
0,16,21,1,389
1,15,22,1,388
0,18,19,1,389
1,16,22,1,389
0,18,18,1,384
0,18,21,1,386
0,17,21,1,386
0,20,23,1,388
0,18,19,1,388
0,17,21,1,387
1,17,19,1,389
0,18,20,1,389
0,19,22,1,389
0,18,20,1,389
0,19,19,1,384
1,21,22,1,384
0,16,21,1,385
0,16,18,1,385
0,18,20,1,388
0,17,18,1,388
0,17,20,1,388
0,19,21,1,390
0,17,20,1,389
0,18,20,1,383
1,17,20,1,384
0,18,20,1,387
0,16,22,1,388
0,20,22,1,390
0,19,23,2,390
0,20,22,1,390
0,19,23,1,390
0,17,19,1,390
0,17,20,1,390
1,16,17,1,384
0,17,22,1,386
0,20,21,1,389
0,18,21,1,390
1,18,21,1,390
1,18,21,1,390
0,20,25,1,387
0,19,19,1,389
0,19,23,1,389
0,19,19,1,388
0,19,22,1,389
1,19,23,1,389
0,19,23,1,389
0,18,23,1,389
0,18,19,1,391
0,17,23,1,391
0,17,23,1,391
0,17,21,1,386
0,19,21,1,386
0,18,22,1,387
0,18,21,1,389
0,19,23,1,389
0,19,21,1,391
0,19,21,1,391
0,17,23,1,392
0,19,24,1,392
0,18,21,1,392
0,17,20,1,387
0,16,26,1,387
1,18,25,1,389
0,17,25,1,389
1,19,19,1,389
0,20,24,1,389
1,20,24,1,389
0,21,25,1,390
0,23,27,1,390
0,21,28,1,390
0,19,22,1,392
0,19,25,1,388
0,19,25,1,388
1,20,27,1,389
0,21,26,1,389
0,21,26,1,389
0,23,24,1,389
0,22,25,1,389
0,22,25,1,389
1,23,24,1,389
0,23,25,1,390
1,22,30,1,391
0,12,15,1,422
0,11,12,1,423
1,13,16,1,422
0,10,13,1,423
1,10,15,1,423
0,11,16,1,423
0,16,20,1,421
0,17,20,1,421
0,13,17,1,422
0,14,16,1,423
0,11,17,1,422
1,10,18,1,422
0,10,17,1,422
0,10,14,1,422
0,12,14,1,420
0,10,14,1,421
0,10,14,1,421
0,13,15,1,422
0,15,17,1,421
1,12,17,1,422
0,13,16,1,422
0,13,14,1,423
1,13,15,1,422
0,12,15,1,423
0,13,15,1,424
1,15,18,1,424
0,14,18,1,421
0,14,19,1,422
1,14,20,1,422
1,13,14,1,422
0,12,16,1,422
1,14,16,1,423
0,13,15,1,422
1,13,18,1,422
1,13,16,1,423
0,14,16,1,423
0,14,18,1,424
0,12,14,1,424
0,14,14,1,425
0,13,20,1,421
1,12,17,1,422
0,12,15,1,422
0,12,14,1,424
1,11,15,1,424
1,11,15,1,424
0,11,16,1,425
0,13,17,1,425
0,11,16,1,425
0,11,14,1,425
0,13,18,1,425
0,15,17,1,421
0,13,17,1,421
1,16,21,1,422
1,12,13,1,422
1,13,16,1,422
1,14,19,1,422
1,13,16,1,422
1,16,23,1,422
0,12,15,1,424
1,14,17,1,424
1,12,15,1,425
0,10,15,1,425
1,12,14,1,425
1,10,14,1,425
0,11,14,1,425
1,11,16,1,425
0,11,12,1,425
1,11,15,1,425
0,12,16,1,425
1,12,16,1,425
1,13,19,1,425
0,11,14,1,425
0,14,18,1,424
1,13,20,1,424
1,13,20,1,424
1,12,15,1,425
0,12,17,1,425
0,10,15,1,425
1,12,16,1,425
1,10,18,1,425
1,10,18,1,425
0,10,15,1,425
1,12,15,1,425
0,10,15,1,425
1,9,16,1,425
1,9,15,1,424
0,9,15,1,425
0,16,21,1,425
0,11,15,1,425
0,12,14,1,424
0,13,17,1,423
0,15,21,1,425
1,14,21,1,425
1,16,23,1,425
0,16,22,1,425
1,15,22,1,425
0,16,23,1,425
1,12,15,1,425
0,16,24,1,424
1,13,19,1,425
0,12,18,1,456
0,14,19,1,457
0,16,19,1,458
1,15,17,1,458
0,15,17,1,458
0,19,20,1,458
0,17,16,1,459
0,17,21,1,456
0,15,17,1,458
0,12,12,1,458
0,14,16,1,458
0,22,25,1,457
0,16,18,1,459
1,19,20,1,455
0,18,24,1,455
0,14,18,1,457
0,11,14,1,457
0,15,19,1,457
1,17,19,1,458
0,15,17,1,459
0,15,17,1,455
0,15,15,1,455
0,11,14,1,455
0,11,16,1,456
0,16,20,1,457
0,14,19,1,456
0,15,19,1,457
1,19,20,1,459
0,18,21,1,459
0,23,22,1,459
0,11,10,1,455
0,14,12,1,456
0,14,14,1,455
0,13,12,1,456
0,13,14,1,455
0,13,11,1,458
0,15,17,1,458
0,18,15,1,459
0,16,18,1,459
0,11,11,1,455
0,12,10,1,455
0,14,13,1,455
0,14,13,1,454
0,14,15,1,455
0,13,11,1,456
0,13,10,1,456
0,14,10,1,456
0,12,10,1,459
0,14,11,1,457
0,15,10,1,459
0,14,11,1,459
0,14,14,1,459
0,15,12,1,458
0,13,16,1,460
0,15,12,1,455
0,11,8,1,454
0,13,10,1,455
0,12,9,1,454
0,13,9,1,456
0,13,10,1,455
0,12,10,1,455
0,14,10,1,456
0,13,8,1,456
0,13,9,1,456
0,15,11,1,457
0,15,13,1,458
0,13,14,1,457
1,15,14,1,459
0,13,11,1,454
0,11,9,1,454
0,11,9,1,454
0,11,9,1,455
0,11,10,1,455
0,12,9,1,456
0,14,10,1,455
0,13,10,1,455
0,13,11,1,457
0,13,14,1,458
0,11,14,1,458
0,13,12,1,458
0,12,10,1,454
0,12,8,1,454
0,11,9,1,454
0,10,11,1,454
0,13,10,1,455
0,12,11,1,455
0,12,11,1,455
0,14,11,1,457
0,14,11,1,457
0,14,13,1,458
0,14,11,1,458
0,16,16,1,457
0,16,15,1,457
0,10,10,1,454
0,13,13,1,454
0,12,11,1,455
0,11,10,1,456
0,13,12,1,457
0,15,14,1,456
0,17,14,1,457
0,16,17,1,367
0,16,20,1,370
0,15,17,1,373
1,15,18,1,374
0,15,18,1,374
0,15,19,1,374
0,16,20,1,375
0,16,18,1,371
0,18,13,1,374
1,15,18,1,375
1,15,17,1,375
0,13,18,1,375
0,14,18,1,374
1,15,19,1,373
0,14,18,1,373
1,15,19,1,373
1,15,20,1,374
0,16,18,1,375
0,17,20,1,370
0,16,17,1,374
0,18,14,1,375
0,14,15,1,375
1,14,15,1,375
0,13,14,1,374
1,13,20,1,374
1,16,19,1,377
0,17,22,1,377
0,18,21,1,371
0,16,20,1,371
0,17,19,1,374
0,18,14,1,375
0,15,15,1,374
0,13,14,1,375
1,14,18,1,375
1,14,18,1,375
1,14,19,1,375
1,13,19,1,375
1,16,19,1,377
1,15,20,1,375
0,12,23,1,376
0,16,19,1,371
0,16,16,1,372
0,16,17,1,371
0,17,16,1,374
0,15,18,1,374
0,16,20,1,374
0,15,18,1,374
1,14,20,1,375
1,14,18,1,376
0,14,20,1,377
1,14,20,1,378
1,17,19,1,379
1,17,17,1,372
0,16,15,1,373
0,17,17,1,374
0,16,17,1,376
1,15,20,1,376
0,15,17,1,374
1,15,19,1,377
0,17,23,1,376
0,13,22,1,378
0,15,19,1,380
1,16,19,1,378
1,17,18,1,381
1,17,18,1,375
0,16,18,1,375
0,16,21,1,375
0,17,18,1,376
1,15,19,1,377
0,16,22,1,377
0,16,22,1,379
1,16,24,1,377
0,16,23,1,377
0,15,18,1,380
1,15,18,1,375
0,15,17,1,375
1,17,17,1,375
0,17,20,1,375
0,18,21,1,377
1,14,23,1,377
0,14,23,1,379
1,15,23,1,379
0,16,20,1,381
0,15,18,1,374
0,14,20,1,375
0,16,19,1,378
1,18,24,1,379
0,16,24,1,379
1,15,22,1,379
1,15,23,1,379
1,16,24,1,379
1,16,24,1,379
1,16,21,1,379
0,14,20,1,380
0,16,20,1,374
0,15,20,1,376
0,15,23,1,379
1,16,23,1,379
1,16,19,1,380
0,17,21,1,382
0,16,18,1,383
0,15,22,1,382
0,18,22,1,382
0,15,20,1,384
0,15,21,1,384
0,15,20,1,385
0,17,21,1,385
0,16,19,1,381
1,16,21,1,382
0,17,21,1,382
0,17,20,1,384
0,15,20,1,384
0,15,19,1,385
0,16,21,1,384
0,16,24,1,382
1,14,23,1,378
0,18,22,1,382
0,17,22,1,382
0,17,23,1,383
1,16,19,1,385
0,15,19,1,383
1,17,21,1,378
0,17,21,1,378
1,16,18,1,378
0,17,22,1,382
0,17,21,1,382
0,15,22,1,384
1,17,20,0,384
1,16,19,1,385
0,16,18,1,383
1,15,19,1,378
0,15,19,1,378
1,16,18,1,378
0,15,19,1,377
0,17,19,1,381
1,17,23,0,383
0,17,21,1,383
1,17,19,0,384
0,16,17,1,383
0,15,20,1,382
0,14,18,1,375
1,16,20,1,376
0,14,17,1,377
1,16,21,1,381
0,16,17,1,377
1,18,23,1,382
0,17,21,0,383
1,17,21,0,383
1,17,19,1,383
0,17,20,1,383
0,16,20,1,382
1,14,21,1,373
1,15,21,1,374
0,16,18,1,376
0,17,19,1,374
1,18,20,1,375
1,17,20,1,382
1,16,19,1,376
0,18,24,1,382
1,17,21,1,382
1,17,21,1,382
0,17,21,1,382
0,17,25,1,381
1,14,18,1,371
1,14,18,1,370
0,16,19,1,374
1,15,17,1,374
1,18,19,1,374
0,16,21,1,374
1,18,23,1,374
1,18,24,1,374
1,18,21,1,374
1,19,22,1,374
1,16,24,1,377
1,17,19,1,376
0,17,22,1,378
1,18,20,1,378
1,17,18,1,378
1,17,23,1,382
0,17,23,1,382
0,15,19,1,370
0,16,18,1,370
1,17,20,1,374
0,17,22,1,373
1,18,25,1,375
1,16,19,1,375
0,17,20,1,377
1,16,21,1,377
1,17,20,1,377
1,19,22,1,377
1,15,22,1,381
0,18,24,1,381
0,15,17,1,368
0,16,20,1,369
0,16,19,1,373
0,16,19,1,375
1,16,17,1,373
1,17,19,1,373
1,19,18,1,373
0,17,19,1,377
0,18,21,1,398
0,19,21,1,398
0,22,24,1,398
0,23,29,1,397
0,23,25,1,397
0,17,20,1,398
0,19,23,1,397
0,21,23,1,397
0,20,26,1,396
0,22,24,1,397
0,22,27,1,397
0,19,24,1,397
0,21,25,1,396
0,21,25,1,396
0,20,24,1,398
0,22,24,1,396
0,20,24,1,396
0,20,25,1,396
0,19,23,1,396
0,20,22,1,396
0,20,24,1,396
0,21,25,1,396
1,20,23,1,396
0,14,18,1,396
0,21,26,1,396
0,19,23,1,396
0,18,23,1,396
0,21,23,1,396
1,20,25,1,396
0,21,23,1,397
0,21,24,1,397
1,19,25,1,396
0,18,20,1,396
0,18,20,1,396
1,17,24,1,396
0,19,27,1,396
0,19,25,1,396
0,18,23,1,396
0,18,23,1,396
0,21,26,1,396
0,19,27,1,396
0,19,27,1,396
0,21,25,1,395
0,21,25,1,395
0,21,25,1,395
0,20,23,1,394
0,21,23,1,394
0,21,23,1,394
0,21,23,1,394
0,14,17,1,396
1,18,25,1,395
0,19,24,1,395
0,20,24,1,396
0,21,25,1,396
0,22,27,1,396
1,18,22,1,396
0,21,23,1,393
1,21,27,1,393
0,14,22,1,393
0,15,23,1,395
0,14,19,1,395
0,21,26,1,395
0,21,26,1,395
0,20,26,1,395
0,21,24,1,393
0,15,21,1,393
0,14,18,1,395
0,14,18,1,394
0,14,19,1,394
0,18,22,1,394
0,18,24,1,393
0,17,23,1,393
0,17,23,1,393
0,16,20,1,392
0,13,19,1,392
0,17,21,1,394
1,19,22,1,394
0,17,22,1,394
0,18,25,1,394
0,13,19,1,392
0,16,20,1,393
0,19,20,1,394
1,17,20,1,393
0,16,20,1,392
0,19,23,1,393
0,20,25,1,394
0,19,24,1,394
0,17,23,1,394
0,19,25,1,394
1,21,25,1,393
0,20,26,1,393
0,20,26,1,393
0,20,25,1,394
0,19,23,1,394
0,14,17,1,392
0,18,22,1,393
0,18,23,1,393
0,19,25,1,392
0,17,20,1,393
0,16,18,1,394
0,13,18,1,404
0,14,16,1,406
0,12,15,1,408
0,12,14,1,407
0,12,13,1,407
0,12,14,1,407
0,14,17,1,407
0,13,15,1,407
0,13,15,1,409
0,14,17,1,409
0,13,15,1,407
0,12,16,1,408
0,13,16,1,408
1,15,18,1,408
1,15,18,1,407
0,13,18,1,407
0,12,16,1,407
0,13,17,1,407
0,15,18,1,408
0,13,17,1,408
0,15,18,1,407
0,14,17,1,408
0,14,20,1,408
0,13,16,1,407
0,16,18,1,407
0,15,20,1,408
0,13,18,1,407
0,15,19,1,407
0,12,16,1,408
0,12,17,1,408
0,13,15,1,408
0,12,18,1,408
0,13,16,1,407
1,12,15,1,407
1,14,18,1,406
0,15,20,1,406
0,15,18,1,406
0,15,19,1,407
0,15,21,1,407
0,17,20,1,407
0,13,19,1,407
0,11,16,1,408
0,12,16,1,408
0,13,18,1,408
1,12,18,1,408
0,12,15,1,408
0,12,15,1,408
0,12,17,1,408
0,12,15,1,407
0,11,14,1,408
1,13,16,1,407
0,12,13,1,409
0,13,18,1,406
0,12,14,1,407
0,15,22,1,406
1,16,24,1,407
0,19,22,1,408
0,16,22,1,408
0,18,23,1,404
0,12,17,1,408
0,12,15,1,408
0,11,15,1,408
1,11,18,1,408
0,15,22,1,408
0,15,22,1,408
0,17,23,1,408
0,14,19,1,408
1,14,19,1,406
0,11,18,1,408
0,11,16,1,408
1,13,16,1,408
0,12,16,1,409
0,13,16,1,407
1,12,17,1,409
0,13,19,1,409
1,15,19,1,409
0,16,22,1,408
0,15,18,1,409
1,14,16,1,407
1,12,17,1,407
0,11,15,1,408
0,11,16,1,408
0,12,16,1,407
0,13,14,1,408
1,13,16,1,407
0,13,20,1,409
0,15,20,1,409
0,16,19,1,409
0,15,17,1,411
0,14,18,1,405
1,14,18,1,407
0,14,19,1,407
0,12,17,1,410
1,12,16,1,410
0,15,19,1,410
0,14,17,1,411
0,14,21,1,407
0,15,23,1,409
0,12,18,1,410
0,15,19,1,411
